	startValue	endValue	upOrDown	slope
0	11741.5	11732.5	Down	-0.255776357684844
0	11732.5	11761.0	Up	0.5733537106508376
0	11760.5	11758.5	Up	0.0240900241401073
0	11760.0	11745.0	Down	-0.21293352576252791
0	11746.0	11738.0	Down	-0.1215624562614598
0	11737.5	11722.0	Down	-0.23739927718813802
0	11723.0	11720.5	Down	-0.04606835251144683
0	11723.0	11717.5	Down	-0.03655182133396287
0	11718.0	11719.0	Up	0.013319291590259593
0	11719.0	11718.0	Down	-0.011953943794392219
0	11719.0	11722.5	Down	-0.02739009347319776
0	11720.0	11728.5	Up	0.11000096310987359
0	11730.0	11722.0	Down	-0.1108052407323712
0	11722.5	11711.0	Down	-0.22872541864875198
0	11711.0	11709.5	Down	-0.014618439553213453
0	11705.0	11690.5	Down	-0.08473187010879656
0	11690.5	11699.0	Up	0.09633536618837195
0	11700.0	11707.5	Up	0.056779272396413095
0	11706.5	11694.5	Down	-0.15368087110999798
0	11695.0	11698.0	Up	0.042168271794057625
0	11698.0	11696.0	Up	0.003463011724819577
0	11696.5	11707.0	Up	0.18936105720923785
0	11706.5	11706.0	Down	-0.1022343370923312
0	11706.5	11691.0	Down	-0.1980939948415637
0	11691.0	11695.0	Down	-0.08423228228016569
0	11692.5	11706.0	Up	0.1729560915759888
0	11706.0	11699.0	Down	-0.13034870343074276
0	11700.0	11698.0	Up	0.09341745815800805
0	11698.0	11696.5	Down	-0.0726177141741936
0	11696.5	11699.0	Up	0.011392124545508095
0	11697.5	11712.5	Up	0.44402611201274234
0	11714.0	11715.0	Up	0.06884337791347865
0	11714.0	11705.0	Down	-0.17978605095957811
0	11704.0	11704.0	Up	0.11426484685268515
0	11702.5	11701.5	Up	0.05878509676949909
0	11701.0	11697.0	Down	-0.12286530605733569
0	11697.0	11705.0	Up	0.1272082465991519
0	11705.5	11709.0	Up	0.0705590577049568
0	11708.0	11702.5	Down	-0.030660456867326897
0	11702.5	11710.0	Up	0.09827507757779733
0	11709.0	11709.0	Down	-0.022354992938453562
0	11709.0	11704.0	Down	-0.027971196672866912
0	11703.0	11705.0	Up	0.09860157099050688
0	11706.0	11708.0	Up	0.03266641534155292
0	11709.0	11704.5	Down	-0.10938564100658157
0	11706.5	11711.5	Up	0.12201949831684415
0	11708.5	11688.0	Down	-0.3857043580215962
0	11687.0	11692.0	Up	0.06774918953062084
0	11691.5	11677.0	Down	-0.3621561549367191
0	11676.5	11683.5	Up	0.15700194405884163
0	11684.5	11668.0	Down	-0.14580867481762824
0	11672.0	11680.5	Up	0.11355945071163073
0	11680.5	11673.5	Down	-0.1618254581196509
0	11675.0	11676.5	Down	-0.07644783598200072
0	11675.0	11670.0	Down	-0.05506677883623162
0	11670.5	11642.5	Down	-0.4152681353957324
0	11645.5	11650.0	Up	0.018963600273377287
0	11648.5	11660.0	Up	0.16922981974447518
0	11655.0	11650.5	Down	-0.09736857545120448
0	11650.5	11652.5	Up	0.01731654879885419
0	11652.0	11616.0	Down	-0.5984995821189498
0	11614.0	11628.5	Up	0.18851989999746818
0	11628.0	11625.5	Down	-0.041191147478062795
0	11626.0	11621.0	Down	-0.05698268413607409
0	11621.0	11626.0	Down	-0.02091303095711501
0	11625.0	11612.5	Down	-0.3574187287326096
0	11615.0	11595.0	Down	-0.34972214504977894
0	11597.0	11601.5	Down	-0.07001944911035826
0	11601.0	11597.0	Down	-0.11005834845085902
0	11598.0	11604.0	Down	-0.0031397604423965037
0	11606.0	11590.0	Down	-0.3111975500450569
0	11590.0	11608.0	Up	0.22577104722448493
0	11606.5	11609.5	Up	0.011700647529556043
0	11611.5	11615.0	Up	0.10880678950554082
0	11613.5	11619.0	Down	-0.05462628639702945
0	11618.0	11619.0	Up	0.002395145642770243
0	11619.0	11627.0	Up	0.0881876427865356
0	11627.5	11627.0	Down	-0.1328285662629914
0	11628.5	11618.5	Down	-0.1423787756491958
0	11618.5	11611.5	Down	-0.012697971556113775
0	11613.0	11607.0	Down	-0.05047213830392026
0	11610.5	11618.0	Up	0.17882347253649478
0	11618.5	11620.0	Up	0.03536133417156111
0	11622.5	11624.0	Down	-0.12349581021320961
0	11625.0	11623.0	Down	-0.16079240834619005
0	11625.0	11627.0	Down	-0.016305108876161867
0	11629.0	11632.5	Up	0.019838844091827918
0	11632.0	11632.5	Up	0.07499610329825596
0	11634.0	11622.0	Down	-0.1318282856583328
